DATE_TIME,DPTemp,DBTemp,Precip,RHumid
2013-01-11T20:32:00,63,63,0.00,100
2013-01-11T20:53:00,61,62,0.00,96
2013-01-11T21:06:00,63,63,0.00,100
2013-01-11T21:10:00,61,63,0.00,94
2013-01-11T21:17:00,61,61,0.00,100
2013-01-11T21:26:00,61,61,0.00,100
2013-01-11T21:32:00,61,61,0.00,100
2013-01-11T21:40:00,61,61,0.00,100
2013-01-11T21:53:00,61,62,0.00,96
2013-01-11T21:56:00,61,63,0.00,94
2013-01-11T22:53:00,60,61,0.00,97
2013-01-11T23:53:00,58,58,0.00,100
2013-01-11T23:56:00,57,57,0.00,100
2013-01-11T23:59:00,,0,0.00,0
2013-01-12T00:03:00,57,57,0.00,100
2013-01-12T00:53:00,57,57,0.00,100
2013-01-12T01:53:00,57,58,0.00,97
2013-01-12T02:53:00,57,57,0.00,100
2013-01-12T03:53:00,59,59,0.00,100
2013-01-12T04:53:00,57,57,0.00,100
2013-01-12T05:29:00,59,59,0.00,100
2013-01-12T05:33:00,57,57,0.00,100
2013-01-12T05:35:00,57,57,0.00,100
2013-01-12T05:43:00,57,57,0.00,100
2013-01-12T05:53:00,57,57,0.00,100
2013-01-12T06:53:00,58,58,0.00,100
2013-01-12T06:57:00,57,57,0.00,100
2013-01-12T07:15:00,57,57,0.00,100
2013-01-12T07:37:00,57,59,0.00,94
2013-01-12T07:42:00,57,57,0.00,100
2013-01-12T07:51:00,57,57,0.00,100
2013-01-12T07:53:00,57,58,0.00,97
2013-01-12T08:00:00,57,57,0.00,100
2013-01-12T08:23:00,57,57,0.00,100
2013-01-12T08:53:00,59,59,0.00,100
2013-01-12T09:00:00,61,61,0.00,100
2013-01-12T09:44:00,61,63,0.00,94
2013-01-12T09:53:00,62,63,0.00,97
2013-01-12T10:53:00,64,66,0.00,93
2013-01-12T11:38:00,63,66,0.00,88
2013-01-12T11:53:00,63,67,0.00,87
2013-01-12T12:08:00,64,68,0.00,88
2013-01-12T12:51:00,63,72,0.00,73
2013-01-12T12:53:00,62,72,0.00,71
2013-01-12T13:53:00,59,74,0.00,60
2013-01-12T14:00:00,59,73,0.00,61
2013-01-12T14:53:00,58,74,0.00,57
2013-01-12T15:53:00,59,73,0.00,62
2013-01-12T16:53:00,57,73,0.00,57
2013-01-12T17:53:00,57,71,0.00,61
2013-01-12T18:53:00,57,68,0.00,68
2013-01-12T19:53:00,57,64,0.00,78
2013-01-12T20:53:00,57,58,0.00,97
2013-01-12T21:53:00,57,59,0.00,93
2013-01-12T22:53:00,57,65,0.00,76
2013-01-12T23:53:00,57,63,0.00,81
