date_code, draw_date,num_1,num_2,num_3,num_4,num_5, MB
date=636634080000000000,6/1/2018,5,24,52,62,66,17
date=636631488000000000,5/29/2018,2,11,55,58,67,2
date=636628032000000000,5/25/2018,11,14,51,64,68,25
date=636625440000000000,5/22/2018,16,17,21,36,48,9
date=636621984000000000,5/18/2018,9,26,53,64,66,11
date=636619392000000000,5/15/2018,21,34,44,49,61,21
date=636615936000000000,5/11/2018,14,38,40,53,70,22
date=636613344000000000,5/8/2018,8,15,39,64,67,13
date=636609888000000000,5/4/2018,4,5,10,12,18,21
date=636607296000000000,5/1/2018,2,7,20,55,70,1
date=636603840000000000,4/27/2018,2,29,38,63,66,11
date=636601248000000000,4/24/2018,3,19,31,32,48,10
date=636597792000000000,4/20/2018,1,15,18,32,45,4
date=636595200000000000,4/17/2018,12,34,44,47,65,22
date=636591744000000000,4/13/2018,8,9,32,42,59,10
date=636589152000000000,4/10/2018,5,13,31,43,53,20
date=636585696000000000,4/6/2018,16,33,51,54,67,20
date=636583104000000000,4/3/2018,4,29,39,42,62,14
date=636579648000000000,3/30/2018,11,28,31,46,59,1
date=636577056000000000,3/27/2018,7,25,43,56,59,13
date=636573600000000000,3/23/2018,4,8,23,53,59,17
date=636571008000000000,3/20/2018,14,38,51,64,70,9
